;;Ge_ffnete Beherbergungsbetriebe;Angebotene G_stebetten;G_steÙbernachtungen;G_steankÙnfte
11;  Berlin;750;111178;20795643;9051430
11001;        Berlin-Mitte;153;36975;7373639;3278607
11002;        Berlin-Friedrichshain-Kreuzberg;73;12215;2593121;1093831
11003;        Berlin-Pankow;55;6128;1215166;485666
11004;        Berlin-Charlottenburg-Wilmersdorf;202;25733;4695447;2004187
11005;        Berlin-Spandau;27;2497;439047;214886
11006;        Berlin-Steglitz-Zehlendorf;40;3103;452434;186694
11007;        Berlin-Tempelhof-Sch_neberg;49;6794;1307385;590954
11008;        Berlin-Neuk_lln;25;4196;538468;251197
11009;        Berlin-Treptow-K_penick;44;4035;540083;251965
11010;        Berlin-Marzahn-Hellersdorf;21;1215;166664;68976
11011;        Berlin-Lichtenberg;23;4575;858621;360499
11012;        Berlin-Reinickendorf;38;3712;615568;263968
