;;Gešffnete Beherbergungsbetriebe;Angebotene GŠstebetten;GŠsteŸbernachtungen;GŠsteankŸnfte
11;  Berlin;799;130984;26942082;11324947
11001;        Berlin-Mitte;171;48504;10718583;4570625
11002;        Berlin-Friedrichshain-Kreuzberg;86;15623;3469284;1443137
11003;        Berlin-Pankow;53;6292;1261690;490779
11004;        Berlin-Charlottenburg-Wilmersdorf;205;28285;5738395;2399020
11005;        Berlin-Spandau;33;2749;514976;230093
11006;        Berlin-Steglitz-Zehlendorf;40;3037;461801;193012
11007;        Berlin-Tempelhof-Schšneberg;54;7734;1625011;650946
11008;        Berlin-Neukšlln;25;4552;712686;311435
11009;        Berlin-Treptow-Kšpenick;45;4103;614460;257870
11010;        Berlin-Marzahn-Hellersdorf;22;1649;229401;89609
11011;        Berlin-Lichtenberg;29;4959;967190;414357
11012;        Berlin-Reinickendorf;36;3497;628605;274064
