;;Geoeffnete Beherbergungsbetriebe;Angebotene Gaestebetten;Gaesteuebernachtungen;Gaesteankuenfte
11;  Berlin;809;135246;28688683;11871326
11001;        Berlin-Mitte;178;50856;11490373;4836132
11002;        Berlin-Friedrichshain-Kreuzberg;88;16634;3760461;1554980
11003;        Berlin-Pankow;53;6412;1362391;515860
11004;        Berlin-Charlottenburg-Wilmersdorf;197;28249;6056255;2429595
11005;        Berlin-Spandau;33;2711;522902;230458
11006;        Berlin-Steglitz-Zehlendorf;42;3044;477648;200669
11007;        Berlin-Tempelhof-Schoeneberg;59;8234;1753445;712521
11008;        Berlin-Neukoelln;28;4842;761992;331293
11009;        Berlin-Treptow-Koepenick;43;4058;618482;263931
11010;        Berlin-Marzahn-Hellersdorf;23;1733;221270;85011
11011;        Berlin-Lichtenberg;28;4942;1023965;433966
11012;        Berlin-Reinickendorf;37;3531;639499;276910
