Bezirke;Jahr;Monat;(Gaeste);(Gaeste) - Anmerkungen;(Uebernachtungen);(Uebernachtungen) - Anmerkungen
01  Mitte;2014;Januar;299595;;660803;
;;Februar;312261;;689431;
;;Maerz;370253;;832745;
;;April;398522;;980673;
;;Mai;442168;;1054394;
;;Juni;427050;;1013677;
;;Juli;437081;;1112365;
;;August;442861;;1187826;
;;September;429210;;1006854;
;;Oktober;462636;;1114392;
;;November;415750;;899467;
;;Dezember;398745;;937746;
;2010;Januar;200160;;429474;
;;Februar;207208;;445700;
;;Maerz;271133;;578521;
;;April;256653;;586662;
;;Mai;298405;;660434;
;;Juni;308064;;683983;
;;Juli;292702;;719820;
;;August;295341;;761864;
;;September;312030;;705685;
;;Oktober;318525;;716153;
;;November;277367;;573800;
;;Dezember;241019;;511543;
;2011;Januar;212258;;448923;
;;Februar;233409;;481949;
;;Maerz;282488;;596931;
;;April;330980;;766111;
;;Mai;354755;;761469;
;;Juni;347547;;779272;
;;Juli;351262;;836419;
;;August;354422;;876841;
;;September;376439;;808633;
;;Oktober;386209;;856857;
;;November;341617;;663397;
;;Dezember;308663;;644784;
;2012;Januar;261639;;532382;
;;Februar;277951;;575363;
;;Maerz;350574;;715677;
;;April;369603;;861469;
;;Mai;392946;;868829;
;;Juni;398809;;874701;
;;Juli;399827;;972944;
;;August;401817;;1004974;
;;September;400850;;898068;
;;Oktober;430052;;961557;
;;November;392276;;789386;
;;Dezember;346136;;765105;
;2013;Januar;287386;;612513;
;;Februar;290997;;644045;
;;Maerz;379161;;879436;
;;April;382156;;889439;
;;Mai;405476;;972254;
;;Juni;413098;;937256;
;;Juli;406440;;1032332;
;;August;437362;;1124976;
;;September;404357;;948162;
;;Oktober;428406;;1029467;
;;November;380833;;820396;
;;Dezember;354953;;828307;
;2015;Januar;317863;;726314;
;;Februar;336195;;767972;
;;Maerz;417160;;939677;
;;April;431029;;1041218;
;;Mai;465177;;1122780;
;;Juni;465936;;1093839;
;;Juli;482871;;1256264;
;;August;446243;;1233647;
;;September;467549;;1147172;
;;Oktober;482161;;1193957;
;;November;445723;;970878;
;;Dezember;410249;;992252;
02  Friedrichshain-Kreuzberg;2014;Januar;87510;;200895;
;;Februar;96803;;223167;
;;Maerz;120001;;285408;
;;April;132420;;338792;
;;Mai;149428;;351158;
;;Juni;143243;;342493;
;;Juli;148063;;380817;
;;August;148597;;390936;
;;September;142956;;347819;
;;Oktober;147171;;358243;
;;November;127132;;278128;
;;Dezember;111656;;262605;
;2010;Januar;59349;;133245;
;;Februar;61188;;144119;
;;Maerz;87436;;203123;
;;April;85507;;204863;
;;Mai;99925;;238145;
;;Juni;102564;;242725;
;;Juli;102213;;263420;
;;August;103034;;271884;
;;September;109528;;259027;
;;Oktober;115872;;271686;
;;November;91344;;190633;
