Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;317863;;336195;;417160;;431029;;465177;;465936;;482871;;446243;;467549;;482161;;445723;;410249;
02  Friedrichshain-Kreuzberg;88968;;98760;;127583;;132846;;143017;;140037;;147540;;131021;;147082;;142084;;125418;;110924;
03  Pankow;28993;;32847;;41760;;40592;;47979;;49329;;52327;;47494;;49158;;49532;;39739;;36610;
04  Charlottenburg-Wilmersdorf;156291;;160995;;199507;;214023;;232668;;230115;;252288;;227461;;228081;;238163;;204281;;197440;
05  Spandau;14936;;13931;;17826;;19446;;22204;;25660;;27315;;25411;;20046;;24796;;20410;;17534;
06  Steglitz-Zehlendorf;10967;;12240;;18659;;16139;;21022;;20362;;18942;;17559;;21807;;20013;;17249;;13646;
07  Tempelhof-Schoeneberg;45863;;44932;;59223;;61213;;66524;;64758;;69321;;63640;;63657;;66527;;62754;;59850;
08  Neukoelln;19945;;19574;;26621;;29583;;35044;;30646;;34697;;30216;;37372;;36588;;30765;;23876;
09  Treptow-Koepenick;12689;;15179;;19270;;20991;;28703;;27618;;30027;;29564;;30566;;25584;;20135;;16518;
10 Marzahn-Hellersdorf;4822;;4185;;6212;;6850;;8096;;8432;;7824;;7524;;8687;;7426;;5316;;4971;
11 Lichtenberg;26341;;27464;;36679;;38559;;43975;;42966;;44622;;40328;;45734;;42256;;34394;;32471;
12 Reinickendorf;14659;;16039;;21470;;19616;;25426;;24695;;25976;;22683;;23839;;24369;;19267;;15858;
