Bezirk;Januar;Januar - Anmerkungen;Februar;Februar - Anmerkungen;Maerz;Maerz - Anmerkungen;April;April - Anmerkungen;Mai;Mai - Anmerkungen;Juni;Juni - Anmerkungen;Juli;Juli - Anmerkungen;August;August - Anmerkungen;September;September - Anmerkungen;Oktober;Oktober - Anmerkungen;November;November - Anmerkungen;Dezember;Dezember - Anmerkungen
01  Mitte;429474;;445700;;578521;;586662;;660434;;683983;;719820;;761864;;705685;;716153;;573800;;511543;
02  Friedrichshain-Kreuzberg;133245;;144119;;203123;;204863;;238145;;242725;;263420;;271884;;259027;;271686;;190633;;170251;
03  Pankow;66957;;79675;;100450;;101095;;115160;;112871;;116462;;116324;;118200;;122724;;87412;;77836;
04  Charlottenburg-Wilmersdorf;257948;;259163;;379835;;395276;;439700;;437101;;460973;;477052;;452200;;485529;;334010;;316660;
05  Spandau;25371;;22980;;33291;;34722;;43875;;42058;;43979;;48995;;43247;;39643;;32751;;28135;
06  Steglitz-Zehlendorf;21637;;25533;;35868;;34914;;48158;;49911;;44152;;42096;;48719;;45480;;31787;;24179;
07  Tempelhof-Schoeneberg;78637;;73772;;100022;;102793;;122510;;123089;;122574;;123370;;134194;;135840;;99990;;90594;
08  Neukoelln;40643;;33702;;36610;;41117;;49069;;51260;;47880;;43703;;54960;;54973;;45208;;39343;
09  Treptow-Koepenick;25761;;26670;;40901;;44124;;53183;;62937;;60784;;57798;;56019;;50349;;34744;;26813;
10 Marzahn-Hellersdorf;7424;;7842;;14129;;14377;;16627;;18157;;16454;;16442;;18274;;16297;;11741;;8900;
11 Lichtenberg;43858;;42368;;79201;;74596;;85500;;77646;;81102;;89778;;80939;;88106;;64805;;50722;
12 Reinickendorf;36751;;35914;;52804;;50473;;59622;;62047;;58772;;53254;;60466;;57753;;45499;;42213;
