Jahr	2014																								2010																								2011																								2012																								2013																								2015																							
Monat	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen	Januar	Januar - Anmerkungen	Februar	Februar - Anmerkungen	März	März - Anmerkungen	April	April - Anmerkungen	Mai	Mai - Anmerkungen	Juni	Juni - Anmerkungen	Juli	Juli - Anmerkungen	August	August - Anmerkungen	September	September - Anmerkungen	Oktober	Oktober - Anmerkungen	November	November - Anmerkungen	Dezember	Dezember - Anmerkungen
Berlin	704931		740013		905918		989381		1120360		1081519		1089187		1107206		1084705		1136754		985022		926330		528227		543489		730712		723123		841698		855765		821088		816922		888459		917103		736814		648030		563630		588755		728494		849071		930074		907347		902922		905271		954890		971718		814472		749444		643090		666164		864972		921360		987448		973609		998177		1027800		1011025		1049922		900367		804863		679539		687039		919350		952036		1044690		1029089		1022325		1123805		1036022		1083562		901144		846346		742337		782341		991970		1030887		1139835		1130554		1193750		1089144		1143578		1159499		1025451		939947	
01  Mitte	299595		312261		370253		398522		442168		427050		437081		442861		429210		462636		415750		398745		200160		207208		271133		256653		298405		308064		292702		295341		312030		318525		277367		241019		212258		233409		282488		330980		354755		347547		351262		354422		376439		386209		341617		308663		261639		277951		350574		369603		392946		398809		399827		401817		400850		430052		392276		346136		287386		290997		379161		382156		405476		413098		406440		437362		404357		428406		380833		354953		317863		336195		417160		431029		465177		465936		482871		446243		467549		482161		445723		410249	
02  Friedrichshain-Kreuzberg	87510		96803		120001		132420		149428		143243		148063		148597		142956		147171		127132		111656		59349		61188		87436		85507		99925		102564		102213		103034		109528		115872		91344		75871		68907		75383		93522		108389		112391		115155		110561		107445		113543		119164		95965		88778		73857		76961		105529		114207		126981		123315		131996		132541		128182		132372		111379		95668		80045		84928		115411		121958		136413		131748		132457		141968		134066		145038		116044		103061		88968		98760		127583		132846		143017		140037		147540		131021		147082		142084		125418		110924	
03  Pankow	29500		31041		38982		43571		52029		48457		48160		49430		48634		48680		38656		38720		27835		30969		40841		39825		46731		45274		43963		42773		46559		50166		37758		32972		29124		30463		37148		43366		44901		44352		46352		46409		44262		48024		34646		35102		29341		32838		41219		43893		45940		46754		49572		47996		47497		48070		36008		33483		26324		29744		40920		43430		42732		43981		46586		48596		45833		49133		37066		36434		28993		32847		41760		40592		47979		49329		52327		47494		49158		49532		39739		36610	
04  Charlottenburg-Wilmersdorf	145805		151919		184252		209438		230239		220187		222449		225302		214970		234099		198958		191977		110261		114155		158736		169368		185595		187521		185400		185358		191852		213626		156360		145955		124900		118974		152696		183167		203240		193059		196204		198305		209797		209484		167303		162140		142685		136741		185855		198092		204358		193957		208793		215331		210257		215726		177774		164679		144536		144814		195526		206523		224272		219772		219786		245181		216296		226258		180178		175878		156291		160995		199507		214023		232668		230115		252288		227461		228081		238163		204281		197440	
05  Spandau	12781		13408		15510		18213		21465		21864		22713		24825		21563		22114		18312		17690		13891		13862		15478		15451		22049		19123		21216		19057		22470		21595		15864		14830		11574		10133		12773		13874		20716		17434		23210		20321		18010		16168		14502		12801		12826		13456		15189		15830		18788		23094		19285		21592		21372		20237		17069		14814		13331		12314		16242		17771		22070		22097		23849		27064		21570		20352		16873		16560		14936		13931		17826		19446		22204		25660		27315		25411		20046		24796		20410		17534	
06  Steglitz-Zehlendorf	10547		12428		14631		15386		20456		19887		17594		17364		20237		20162		18340		13637		9268		11508		15227		14270		19893		21015		15920		14980		20490		18447		14942		10734		10054		11715		15072		15812		19477		19477		16659		16786		20351		19401		16294		12618		11281		13303		17095		17212		21171		21039		17322		19863		21651		20360		16680		13501		10272		11899		14531		16633		19334		18421		16422		18484		19885		18650		15700		12781		10967		12240		18659		16139		21022		20362		18942		17559		21807		20013		17249		13646	
07  Tempelhof-Schöneberg	45065		43383		54868		58802		66110		64970		63241		62791		68934		69489		59396		55472		35101		34719		45087		44940		53488		55498		51307		50152		63214		61744		51348		44356		39949		37067		45998		52147		57601		54705		51396		51658		58347		59886		50559		48594		42018		41193		50668		55857		57717		57215		58179		59720		60613		62933		53875		50338		44033		38686		50818		52775		59279		55529		55006		64392		61003		63644		54038		51743		45863		44932		59223		61213		66524		64758		69321		63640		63657		66527		62754		59850	
08  Neukölln	19951		20701		25084		24909		34460		30001		28593		31026		31846		31500		27734		25488		19782		18839		17277		18455		22327		22467		21318		18075		25146		25194		21659		20658		14952		19929		18861		20767		24564		21697		19738		21378		23435		23946		22754		17197		15575		18721		21976		23324		25833		23333		22242		31230		26797		29139		26073		23459		20476		17424		24837		26147		29882		28069		25003		32418		28412		29014		25369		24384		19945		19574		26621		29583		35044		30646		34697		30216		37372		36588		30765		23876	
09  Treptow-Köpenick	12445		12978		19558		20632		27164		29050		26952		28470		26875		23999		19108		16700		13080		12542		19115		20658		26280		28135		24227		24844		26489		23848		17928		14819		12937		13565		18539		21532		24777		26606		23101		24335		24006		21896		17750		15089		12683		13813		19033		21375		22357		22545		24394		26711		24898		22158		16221		15198		12859		12530		18969		20400		27904		25042		25916		29920		27130		23015		17580		16605		12689		15179		19270		20991		28703		27618		30027		29564		30566		25584		20135		16518	
